trip_id,organization_name,is_operator
33010000157649538,Arriva,1
33010000157650132,Arriva,1
33010000157650184,Arriva,1
33010000157650439,Arriva,1
33010000157650540,Arriva,1
33010000157650640,Arriva,1
33010000157650790,Arriva,1
33010000157649334,Arriva,1
33010000157649436,Arriva,1
33010000157649487,Arriva,1
33010000157649589,Arriva,1
33010000157649640,Arriva,1
33010000157649793,Arriva,1
33010000157649928,Arriva,1
33010000157650590,Arriva,1
33010000157649385,Arriva,1
33010000157649691,Arriva,1
33010000157649877,Arriva,1
33010000157649979,Arriva,1
33010000157650081,Arriva,1
33010000157650235,Arriva,1
33010000157650337,Arriva,1
33010000157650388,Arriva,1
33010000157650490,Arriva,1
33010000157650690,Arriva,1
33010000157650941,Arriva,1
33010000157650992,Arriva,1
33010000157649742,Arriva,1
33010000157650030,Arriva,1
33010000157650286,Arriva,1
33010000157650740,Arriva,1
33010000157650840,Arriva,1
33010000157650890,Arriva,1
33010000144030491,Arriva,1
33010000144030542,Arriva,1
33010000144030644,Arriva,1
33010000144031445,Arriva,1
33010000144031751,Arriva,1
33010000144030695,Arriva,1
33010000144030746,Arriva,1
33010000144030797,Arriva,1
33010000144030848,Arriva,1
33010000144030593,Arriva,1
33010000157651042,Arriva,1
33010000157651242,Arriva,1
33010000157651491,Arriva,1
33010000157651541,Arriva,1
33010000157651591,Arriva,1
33010000157651641,Arriva,1
33010000157651741,Arriva,1
33010000157652225,Arriva,1
33010000157651142,Arriva,1
33010000157651192,Arriva,1
33010000157651391,Arriva,1
33010000157651889,Arriva,1
33010000157652275,Arriva,1
33010000157651292,Arriva,1
33010000157651341,Arriva,1
33010000157651441,Arriva,1
33010000157651691,Arriva,1
33010000157651791,Arriva,1
33010000157651939,Arriva,1
33010000157651989,Arriva,1
33010000157651092,Arriva,1
33010000157651840,Arriva,1
33010000157652042,Arriva,1
33010000157652125,Arriva,1
33010000157652175,Arriva,1
33010000151345184,Arriva,1
33010000151345478,Arriva,1
33010000151345674,Arriva,1
33010000151344939,Arriva,1
33010000151345037,Arriva,1
33010000151345233,Arriva,1
33010000151345282,Arriva,1
33010000151345331,Arriva,1
33010000151345527,Arriva,1
33010000151345576,Arriva,1
33010000151345429,Arriva,1
33010000151344988,Arriva,1
33010000151345135,Arriva,1
33010000151345380,Arriva,1
33010000151345625,Arriva,1
33010000151345723,Arriva,1
33010000151345772,Arriva,1
33010000158679385,Arriva,1
33010000158679357,Arriva,1
33010000158679331,Arriva,1
33010000158679304,Arriva,1
33010000158679412,Arriva,1
33010000158679437,Arriva,1
33010000158679461,Arriva,1
33010000158679489,Arriva,1
33010000137796826,Nobina Sverige AB,1
33010000151339099,Nobina Sverige AB,1
33010000151339315,Nobina Sverige AB,1
33010000151339393,Nobina Sverige AB,1
33010000151339465,Nobina Sverige AB,1
33010000151339609,Nobina Sverige AB,1
33010000151339987,Nobina Sverige AB,1
33010000151340275,Nobina Sverige AB,1
33010000151340880,Nobina Sverige AB,1
33010000151338881,Nobina Sverige AB,1
33010000151339681,Nobina Sverige AB,1
33010000151340059,Nobina Sverige AB,1
33010000151340808,Nobina Sverige AB,1
33010000151341024,Nobina Sverige AB,1
33010000151341096,Nobina Sverige AB,1
33010000151341240,Nobina Sverige AB,1
33010000151341312,Nobina Sverige AB,1
33010000151339171,Nobina Sverige AB,1
33010000151339537,Nobina Sverige AB,1
33010000151339753,Nobina Sverige AB,1
33010000151339843,Nobina Sverige AB,1
33010000151339915,Nobina Sverige AB,1
33010000151340635,Nobina Sverige AB,1
33010000151340707,Nobina Sverige AB,1
33010000151340952,Nobina Sverige AB,1
33010000151338953,Nobina Sverige AB,1
